crn, date, julian,c_deep_mean,c_deep_StdDev,c_shallow_mean,StdDev,StdErr
78,121196,2993,1.97,0,2.195,0.163,0.115
79,10897,3021,1.27,0,1.905,0.163,0.115
80,21897,3062,1.63,0.165,1.72,0,0
81,31297,3084,1.315,0.445,1.925,0.29,0.205
82,40997,3112,1.61,0,,,
83,50797,3140,1.74,0,1.84,0.382,0.27
84,60497,3168,2.11,0,2.055,0.177,0.125
85,70997,3203,1.59,0,2.21,0,0
86,80297,3227,1.6,0,2.41,0,0
87,92597,3281,2.04,0,2.405,0.672,0.475
88,120597,3352,1.64,0,1.64,0,0
89,11198,3389,1.63,0,1.705,0.134,0.095
90,21998,3428,2.23,0,1.91,0,0
91,31898,3455,1.99,0,2.09,0.028,0.02
92,41598,3483,1.81,0,2.19,0,0
93,51398,3511,1.62,0,1.64,0.099,0.07
94,61798,3546,1.77,0,2.265,0.092,0.065
95,71598,3574,1.76,0,2.25,0,0
96,81098,3600,1.28,0,3.36,0,0
97,92898,3649,1.96,0,2.44,0,0
98,101998,3670,2.39,0,2.02,0,0
99,111198,3693,1.45,0,1.83,0,0
100,120998,3721,1.58,0,2.08,0,0
101,11399,3756,1.42,0,1.97,0,0
102,21899,3792,1.73,0,1.86,0,0
103,31799,3819,1.76,0,2,0.071,0.05
104,41499,3847,2.08,0,1.64,0,0
105,51099,3873,2.16,0,2.28,0,0
106,71499,3938,3.31,0,2.565,0.148,0.105
107,81399,3968,1.91,0,2.37,0,0
108,101599,4031,1.53,0,1.91,0,0
109,110999,4056,1.66,0,1.99,0.099,0.07
110,121599,4092,1.54,0,2.11,0.014,0.01
111,20300,4142,1.9,0,1.755,0.064,0.045
112,30100,4169,1.64,0,1.68,0,0
113,32900,4197,1.66,0,2.4,0.099,0.07
114,42600,4225,2.05,0,2.39,0.424,0.3
115,52500,4254,1.43,0,1.825,0.035,0.025
116,62100,4281,1.31,0,2.84,0,0
117,72600,4316,1.61,0,3.462,0.24,0.12
118,82300,4344,1.29,0,1.61,0,0
119,101800,4400,1.21,0,1.86,0.099,0.07
120,113000,4443,1.62,0,2.205,0.219,0.155
121,122000,4463,1.36,0,1.695,0.035,0.025
122,11701,4491,1.3,0,1.395,0.007,0.005
123,21401,4519,1.74,0,1.4,0,0
124,32101,4554,1.45,0,1.68,0.085,0.06
125,41801,4582,1.4,0,1.405,0.007,0.005
126,51601,4610,1.41,0,1.99,0.028,0.02
127,61401,4639,1.52,0,1.795,0.064,0.045
128,71101,4666,1.47,0,1.84,0.042,0.03
129,80801,4694,1.8,0,1.78,0,0
130,100201,4749,1.95,0,2.43,0,0
131,102301,4770,1.77,0,3.33,0,0
132,111701,4795,1.66,0,2.21,0,0
133,121401,4822,1.75,0,1.81,0,0
134,11602,4855,1.79,0,2.02,0.113,0.08
135,22102,4891,1.51,0,1.99,0.156,0.11
136,31302,4911,1.46,0,1.945,0.106,0.075
137,,,,,1.86,0,0
138,62902,5019,1.63,0,1.865,0.007,0.005
139,82802,5079,1.96,0,2.22,0.141,0.1
140,100702,5119,1.94,0,2.66,0,0
141,110402,5147,1.86,0,1.805,0.389,0.275
